x1	y1	x2	y2	URL	File	Tile	LonMin	LatMin	LonMin	LatMax
390	30	420	50	http://viewfinderpanoramas.org/dem3/U14.zip	dem3/U14.zip	U14	-102	80	-96	84
420	30	450	50	http://viewfinderpanoramas.org/dem3/U15.zip	dem3/U15.zip	U15	-96	80	-90	84
450	30	480	50	http://viewfinderpanoramas.org/dem3/U16.zip	dem3/U16.zip	U16	-90	80	-84	84
480	30	510	50	http://viewfinderpanoramas.org/dem3/U17.zip	dem3/U17.zip	U17	-84	80	-78	84
510	30	540	50	http://viewfinderpanoramas.org/dem3/U18.zip	dem3/U18.zip	U18	-78	80	-72	84
540	30	570	50	http://viewfinderpanoramas.org/dem3/U19.zip	dem3/U19.zip	U19	-72	80	-66	84
570	30	600	50	http://viewfinderpanoramas.org/dem3/U20.zip	dem3/U20.zip	U20	-66	80	-60	84
600	30	630	50	http://viewfinderpanoramas.org/dem3/U21.zip	dem3/U21.zip	U21	-60	80	-54	84
630	30	660	50	http://viewfinderpanoramas.org/dem3/U22.zip	dem3/U22.zip	U22	-54	80	-48	84
960	30	990	50	http://viewfinderpanoramas.org/dem3/SVALBARD.zip	dem3/SVALBARD.zip	U33	12	80	18	84
990	30	1020	50	http://viewfinderpanoramas.org/dem3/SVALBARD.zip	dem3/SVALBARD.zip	U34	18	80	24	84
1020	30	1050	50	http://viewfinderpanoramas.org/dem3/SVALBARD.zip	dem3/SVALBARD.zip	U35	24	80	30	84
1050	30	1080	50	http://viewfinderpanoramas.org/dem3/SVALBARD.zip	dem3/SVALBARD.zip	U36	30	80	36	84
1080	30	1110	50	http://viewfinderpanoramas.org/dem3/FJ.zip	dem3/FJ.zip	U37	36	80	42	84
1110	30	1140	50	http://viewfinderpanoramas.org/dem3/FJ.zip	dem3/FJ.zip	U38	42	80	48	84
1140	30	1170	50	http://viewfinderpanoramas.org/dem3/FJ.zip	dem3/FJ.zip	U39	48	80	54	84
1170	30	1200	50	http://viewfinderpanoramas.org/dem3/FJ.zip	dem3/FJ.zip	U40	54	80	60	84
1200	30	1230	50	http://viewfinderpanoramas.org/dem3/FJ.zip	dem3/FJ.zip	U41	60	80	66	84
1290	30	1320	50	http://viewfinderpanoramas.org/dem3/U44.zip	dem3/U44.zip	U44	78	80	84	84
1350	30	1380	50	http://viewfinderpanoramas.org/dem3/U46.zip	dem3/U46.zip	U46	90	80	96	84
1380	30	1410	50	http://viewfinderpanoramas.org/dem3/U47.zip	dem3/U47.zip	U47	96	80	102	84
270	50	300	70	http://viewfinderpanoramas.org/dem3/T10.zip	dem3/T10.zip	T10	-126	76	-120	80
300	50	330	70	http://viewfinderpanoramas.org/dem3/T11.zip	dem3/T11.zip	T11	-120	76	-114	80
330	50	360	70	http://viewfinderpanoramas.org/dem3/T12.zip	dem3/T12.zip	T12	-114	76	-108	80
360	50	390	70	http://viewfinderpanoramas.org/dem3/T13.zip	dem3/T13.zip	T13	-108	76	-102	80
390	50	420	70	http://viewfinderpanoramas.org/dem3/T14.zip	dem3/T14.zip	T14	-102	76	-96	80
420	50	450	70	http://viewfinderpanoramas.org/dem3/T15.zip	dem3/T15.zip	T15	-96	76	-90	80
450	50	480	70	http://viewfinderpanoramas.org/dem3/T16.zip	dem3/T16.zip	T16	-90	76	-84	80
480	50	510	70	http://viewfinderpanoramas.org/dem3/T17.zip	dem3/T17.zip	T17	-84	76	-78	80
510	50	540	70	http://viewfinderpanoramas.org/dem3/T18.zip	dem3/T18.zip	T18	-78	76	-72	80
540	50	570	70	http://viewfinderpanoramas.org/dem3/T19.zip	dem3/T19.zip	T19	-72	76	-66	80
930	50	960	70	http://viewfinderpanoramas.org/dem3/SVALBARD.zip	dem3/SVALBARD.zip	T32	6	76	12	80
960	50	990	70	http://viewfinderpanoramas.org/dem3/SVALBARD.zip	dem3/SVALBARD.zip	T33	12	76	18	80
990	50	1020	70	http://viewfinderpanoramas.org/dem3/SVALBARD.zip	dem3/SVALBARD.zip	T34	18	76	24	80
1020	50	1050	70	http://viewfinderpanoramas.org/dem3/SVALBARD.zip	dem3/SVALBARD.zip	T35	24	76	30	80
1050	50	1080	70	http://viewfinderpanoramas.org/dem3/SVALBARD.zip	dem3/SVALBARD.zip	T36	30	76	36	80
1140	50	1170	70	http://viewfinderpanoramas.org/dem3/FJ.zip	dem3/FJ.zip	T39	48	76	54	80
1170	50	1200	70	http://viewfinderpanoramas.org/dem3/T40.zip	dem3/T40.zip	T40	54	76	60	80
1200	50	1230	70	http://viewfinderpanoramas.org/dem3/T41.zip	dem3/T41.zip	T41	60	76	66	80
1230	50	1260	70	http://viewfinderpanoramas.org/dem3/T42.zip	dem3/T42.zip	T42	66	76	72	80
1260	50	1290	70	http://viewfinderpanoramas.org/dem3/T43.zip	dem3/T43.zip	T43	72	76	78	80
1290	50	1320	70	http://viewfinderpanoramas.org/dem3/T44.zip	dem3/T44.zip	T44	78	76	84	80
1320	50	1350	70	http://viewfinderpanoramas.org/dem3/T45.zip	dem3/T45.zip	T45	84	76	90	80
1350	50	1380	70	http://viewfinderpanoramas.org/dem3/T46.zip	dem3/T46.zip	T46	90	76	96	80
1380	50	1410	70	http://viewfinderpanoramas.org/dem3/T47.zip	dem3/T47.zip	T47	96	76	102	80
1410	50	1440	70	http://viewfinderpanoramas.org/dem3/T48.zip	dem3/T48.zip	T48	102	76	108	80
1440	50	1470	70	http://viewfinderpanoramas.org/dem3/T49.zip	dem3/T49.zip	T49	108	76	114	80
1560	50	1590	70	http://viewfinderpanoramas.org/dem3/T53.zip	dem3/T53.zip	T53	132	76	138	80
1590	50	1620	70	http://viewfinderpanoramas.org/dem3/T54.zip	dem3/T54.zip	T54	138	76	144	80
1620	50	1650	70	http://viewfinderpanoramas.org/dem3/T55.zip	dem3/T55.zip	T55	144	76	150	80
1650	50	1680	70	http://viewfinderpanoramas.org/dem3/T56.zip	dem3/T56.zip	T56	150	76	156	80
